kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.2.sm_86.ptx 214 : 22176 204544 0 0 0 0 0 0 0 
test.2.sm_86.ptx 213 : 22176 205216 0 0 0 0 0 0 0 
test.2.sm_86.ptx 212 : 22176 203136 0 0 0 0 0 0 0 
test.2.sm_86.ptx 211 : 22176 204384 0 0 0 0 0 0 0 
test.2.sm_86.ptx 210 : 22176 207104 0 0 0 0 0 0 0 
test.2.sm_86.ptx 209 : 22176 205856 0 0 0 0 0 0 0 
test.2.sm_86.ptx 208 : 22176 201728 0 0 0 0 0 0 0 
test.2.sm_86.ptx 207 : 22176 206400 0 0 0 0 0 0 0 
test.2.sm_86.ptx 206 : 22176 201792 0 0 0 0 0 0 0 
test.2.sm_86.ptx 205 : 22176 202848 0 0 0 0 0 0 0 
test.2.sm_86.ptx 203 : 22176 153216 0 0 0 0 0 0 0 
test.2.sm_86.ptx 194 : 21856 228640 0 0 0 0 0 0 0 
test.2.sm_86.ptx 192 : 22176 2464 0 0 0 0 0 0 0 
test.2.sm_86.ptx 191 : 22176 172576 0 0 0 0 0 0 0 
test.2.sm_86.ptx 190 : 22176 201920 0 0 0 0 0 0 0 
test.2.sm_86.ptx 189 : 22176 168640 0 0 0 0 0 0 0 
test.2.sm_86.ptx 188 : 22176 201952 0 0 0 0 0 0 0 
test.2.sm_86.ptx 187 : 22176 168064 0 0 0 0 0 0 0 
test.2.sm_86.ptx 184 : 21824 10385696 71424 0 0 2728 682 0 0 
test.2.sm_86.ptx 183 : 21824 225696 0 0 0 0 0 0 0 
test.2.sm_86.ptx 182 : 21824 163296 0 0 0 0 0 0 0 
test.2.sm_86.ptx 181 : 21824 226560 0 0 0 0 0 0 0 
test.2.sm_86.ptx 180 : 21824 159680 0 0 0 0 0 0 0 
test.2.sm_86.ptx 179 : 21824 236096 0 0 0 0 0 0 0 
test.2.sm_86.ptx 178 : 21824 227968 0 0 0 0 0 0 0 
test.2.sm_86.ptx 176 : 22176 2400 0 0 0 0 0 0 0 
test.2.sm_86.ptx 175 : 22176 168960 0 0 0 0 0 0 0 
test.2.sm_86.ptx 174 : 22176 169632 0 0 0 0 0 0 0 
test.2.sm_86.ptx 173 : 22176 173344 0 0 0 0 0 0 0 
test.2.sm_86.ptx 172 : 22176 181728 0 0 0 0 0 0 0 
test.2.sm_86.ptx 171 : 22176 168832 0 0 0 0 0 0 0 
test.3.sm_86.ptx 278 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 267 : 4096 0 0 0 0 0 0 0 0 
test.3.sm_86.ptx 255 : 4096 24576 0 0 0 0 0 0 0 
test.2.sm_86.ptx 231 : 65536 656768 0 0 0 0 0 0 0 
test.3.sm_86.ptx 231 : 4096 23328 0 0 0 0 0 0 0 
test.2.sm_86.ptx 230 : 65536 659360 0 0 0 0 0 0 0 
test.3.sm_86.ptx 230 : 4096 25024 0 0 0 0 0 0 0 
test.3.sm_86.ptx 229 : 4096 26656 0 0 0 0 0 0 0 
test.3.sm_86.ptx 228 : 4096 36160 0 0 0 0 0 0 0 
test.2.sm_86.ptx 227 : 262144 1520800 0 0 0 0 0 0 0 
test.3.sm_86.ptx 227 : 4096 36704 0 0 0 0 0 0 0 
test.2.sm_86.ptx 226 : 262144 2103712 0 0 0 0 0 0 0 
test.3.sm_86.ptx 226 : 4096 38336 0 0 0 0 0 0 0 
test.2.sm_86.ptx 225 : 262144 2773472 0 0 0 0 0 0 0 
test.3.sm_86.ptx 225 : 4096 37632 0 0 0 0 0 0 0 
test.3.sm_86.ptx 224 : 4096 33856 0 0 0 0 0 0 0 
test.3.sm_86.ptx 223 : 4096 19936 0 0 0 0 0 0 0 
